player_id,year,team
4885,1970,MIA
4885,1971,MIA
4885,1972,MIA
4885,1973,MIA
4885,1974,MIA
4885,1976,NYG
4885,1977,NYG
4885,1978,NYG
4885,1979,MIA
15807,1977,ATL
15807,1978,ATL
15807,1979,ATL
15807,1980,PIT
15807,1981,ATL
15381,1996,NWE
15381,1997,NWE
15381,1998,NWE
15381,1999,NWE
15381,2000,NWE
15381,2001,NWE
15381,2002,NWE
15381,2003,BUF
15381,2004,BUF
15381,2005,BUF
15381,2006,ATL
15381,2007,ATL
15381,2008,ATL
15381,2009,SEA
15381,2010,SEA
23593,1977,CIN
1168,1992,GNB
1168,1994,ARI
1168,1995,SDG
20915,1966,STL
20915,1967,STL
12605,1973,KAN
19325,1991,TAM
19325,1992,TAM
16718,1964,HOU
6066,1976,CLE
6066,1977,CLE
6066,1978,HOU
18416,1956,DET
18416,1957,DET
18416,1959,DET
18416,1960,PHI
18416,1961,MIN
18416,1962,MIN
18416,1963,MIN
18416,1964,MIN
7202,1962,NYT
6829,1981,SDG
6829,1982,SDG
6829,1983,SDG
6829,1984,SDG
6829,1985,DET
6829,1986,DET
6829,1987,DET
6829,1988,DET
6829,1989,DET
6829,1990,DET
21083,1986,STL
24009,1990,PHI
24009,1991,PHI
24009,1992,PHI
24009,1993,PHI
24009,1994,PHI
24009,1995,PHI
24009,1996,PHI
3532,2016,MIA
3532,2017,MIA
17040,2014,TAM
17040,2015,TAM
17040,2016,TAM
17040,2017,TAM
6318,2013,CIN
6318,2014,CIN
6318,2015,CIN
6318,2016,CIN
6318,2017,CIN
11177,1974,HOU
11177,1975,HOU
11177,1976,HOU
11177,1977,HOU
11177,1978,HOU
11177,1979,HOU
11177,1980,HOU
11177,1982,ATL
11177,1983,ATL
11177,1984,ATL
11177,1985,ATL
11177,1986,ATL
11177,1987,ATL
11177,1988,WAS
7787,1998,ATL
7787,1999,ATL
7787,2000,ATL
7787,2001,CLE
13707,1973,NWE
13707,1974,NWE
13707,1975,NWE
13707,1976,NWE
13707,1977,NWE
13707,1978,NWE
13707,1979,NWE
13707,1980,NWE
14862,2008,BUF
14862,2009,BUF
14862,2010,BUF
14862,2011,BUF
14862,2012,BUF
14862,2013,BUF
14862,2014,BUF
14862,2015,BUF
14862,2016,PHI
13719,2011,IND
12870,2016,WAS
12870,2017,WAS
23469,1972,NOR
753,1999,CHI
21292,1995,PIT
21292,1996,PIT
21292,1997,PIT
21292,1998,PIT
21292,1999,PIT
21292,2000,PIT
21292,2001,PIT
21292,2002,PIT
21292,2003,CHI
21292,2004,BAL
21292,2005,BAL
2763,1987,RAI
13422,1981,PIT
13422,1982,PIT
13422,1983,PIT
13422,1984,PIT
13422,1985,PIT
13422,1986,PIT
13422,1987,PIT
13422,1988,PIT
13422,1989,PIT
13422,1990,PIT
13422,1991,PIT
13422,1992,PIT
11414,1987,RAM
11438,1995,JAX
18252,1970,BOS
18252,1971,SDG
18252,1972,ATL
18252,1973,ATL
18252,1974,ATL
18252,1976,BUF
5931,1972,SDG
15989,2004,DET
15989,2005,DET
15989,2006,DET
15989,2007,DET
15989,2008,DET
15989,2009,DET
15989,2010,DET
15989,2011,DET
15989,2012,DET
15989,2013,DET
15989,2014,DET
15989,2015,DET
15989,2016,DET
15989,2017,DET
23448,1998,DEN
